danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,category
0.582,0.742,6,-5.632,0,0.614,0.29,0.0,0.13,0.702,79.089,142286,4,Brazilian Funk
0.751,0.701,1,-6.789,0,0.0646,0.603,0.000258,0.264,0.246,123.903,170323,4,Brazilian Funk
0.848,0.592,7,-4.641,0,0.0965,0.256,0.0,0.0838,0.919,159.957,133500,4,Brazilian Funk
0.709,0.834,6,-5.178,0,0.0525,0.0733,7.15e-05,0.178,0.594,140.025,164036,4,Brazilian Funk
0.938,0.874,3,-0.847,1,0.109,0.267,0.00309,0.0848,0.759,130.075,147692,4,Brazilian Funk
0.567,0.977,6,-0.597,1,0.188,0.00189,0.338,0.338,0.479,129.991,247014,4,Brazilian Funk
0.66,0.615,1,-7.122,1,0.625,0.105,0.0,0.0914,0.723,128.318,303750,4,Brazilian Funk
0.484,0.628,11,-8.069,0,0.319,0.604,0.0,0.11,0.797,84.969,351496,5,Brazilian Funk
0.615,0.374,11,-5.535,1,0.216,0.8,1.34e-05,0.319,0.524,80.777,118204,5,Brazilian Funk
0.725,0.961,7,0.956,1,0.232,0.116,0.0229,0.408,0.538,130.178,120033,4,Brazilian Funk
0.814,0.681,0,-4.547,1,0.123,0.215,0.0,0.0765,0.65,99.985,134400,4,Brazilian Funk
0.59,0.572,8,-6.28,1,0.064,0.715,0.0372,0.158,0.0517,81.151,115183,4,Brazilian Funk
0.802,0.469,9,-10.107,0,0.444,0.41,0.0,0.144,0.318,130.165,166154,4,Brazilian Funk
0.53,0.783,3,-5.737,1,0.334,0.0458,0.000102,0.117,0.554,126.708,178081,4,Brazilian Funk
0.527,0.521,4,-8.113,1,0.334,0.453,0.0,0.0731,0.784,94.825,103500,3,Brazilian Funk
0.54,0.54,5,-0.08,1,0.321,0.572,0.00202,0.126,0.755,82.643,142154,3,Brazilian Funk
0.768,0.797,7,-4.254,0,0.0603,0.463,0.0,0.181,0.827,131.903,100622,4,Brazilian Funk
0.941,0.776,5,-8.058,0,0.219,0.158,0.0,0.409,0.765,130.196,125592,4,Brazilian Funk
0.85,0.962,8,-0.126,1,0.276,0.334,8.1e-06,0.141,0.923,163.077,144057,4,Brazilian Funk
0.795,0.603,1,-6.703,1,0.0775,0.392,0.0,0.118,0.753,124.109,232258,4,Brazilian Funk
0.832,0.822,1,-3.321,0,0.186,0.251,0.0,0.0559,0.935,167.959,119249,4,Brazilian Funk
0.525,0.717,3,-5.11,0,0.17,0.0468,0.0,0.0732,0.577,129.887,210512,4,Brazilian Funk
0.856,0.728,0,-4.166,1,0.0643,0.358,0.0,0.0485,0.34,134.941,172443,4,Brazilian Funk
0.654,0.452,6,-7.103,0,0.322,0.609,0.0,0.123,0.414,125.994,145812,4,Brazilian Funk
0.923,0.658,7,-7.431,1,0.282,0.241,9.43e-05,0.19,0.82,129.888,120192,4,Brazilian Funk
0.907,0.749,1,-2.362,1,0.0978,0.072,6.13e-06,0.106,0.819,130.006,184000,4,Brazilian Funk
0.74,0.81,7,-4.628,1,0.0424,0.00104,0.0232,0.51,0.327,140.001,84000,4,Brazilian Funk
